epoch,loss
1141,-10369.35661837421
1142,-10301.39063736155
1143,-10261.936980814873
1144,-10355.473558643196
1145,-10310.643455795094
1146,-10446.339905557754
1147,-10477.69940417326
1148,-10483.146459651898
1149,-10501.726624307754
1150,-10512.50587173655
1151,-10477.561103144779
1152,-10500.463298556171
1153,-10488.637114319621
1154,-10488.079781447785
1155,-10422.884666732594
1156,-10363.115308544304
1157,-10294.371847804588
1158,-10375.36267553402
1159,-10407.658709948575
1160,-10412.482187005538
1161,-10472.807740803006
1162,-10501.411837420887
1163,-10511.183198180379
1164,-10500.548172962817
1165,-10402.089522349683
1166,-10251.248763844937
1167,-10413.831709849683
1168,-10419.183630834652
1169,-10450.952074268196
1170,-10488.296825553798
1171,-10527.871934335442
1172,-10527.34337915348
1173,-10537.365815367879
1174,-10502.398326246044
1175,-10517.408252571202
1176,-10307.080955795094
1177,-10347.448489418513
1178,-10473.680181962025
1179,-10515.681949663765
1180,-10513.67853787579
1181,-10385.007874307754
1182,-10377.957006526898
1183,-10473.221036886867
1184,-10495.944496637658
1185,-10528.01055676424
1186,-10524.139537183544
1187,-10529.638189774525
1188,-10530.766539754746
1189,-10524.22090090981
1190,-10531.958230320412
1191,-10542.812030261075
1192,-10551.69591821598
1193,-10521.154062005538
1194,-10488.272213706487
1195,-10499.750828223892
1196,-10527.383393492879
1197,-10502.106692543513
1198,-10309.129425435127
1199,-10421.257392207279
1200,-10487.993658524525
1201,-10528.955312994462
1202,-10482.100128560127
1203,-10342.391366693038
1204,-10252.360574070412
1205,-10461.99061758307
1206,-10542.495450949367
1207,-10570.592353144779
1208,-10611.926003757912
1209,-10621.974831882912
1210,-10514.749604430379
1211,-10497.595826740506
1212,-10470.261063587817
1213,-10552.153901305379
1214,-10557.341747428798
1215,-10451.365184928798
1216,-10566.724485759494
1217,-10570.31425534019
1218,-10593.114406151108
1219,-10588.973125988925
1220,-10604.602576147152
1221,-10615.176053204113
1222,-10585.194101068038
1223,-10434.941183742088
1224,-10328.412752175633
1225,-10406.816060126583
1226,-10496.645161689083
1227,-10530.131502175633
1228,-10472.017355617088
1229,-10554.852501977848
1230,-10579.223756428006
1231,-10629.577729430379
1232,-10620.394852650317
1233,-10634.127966772152
1234,-10574.824886273735
1235,-10515.981519481804
1236,-10529.27734375
1237,-10582.305960739715
1238,-10535.692036689083
1239,-10542.439230617088
1240,-10549.350474683544
1241,-10517.526206487342
1242,-10466.333489912975
1243,-10536.330523140823
1244,-10556.47132120253
1245,-10616.88732446598
